SENSOR_TYPE,NIS,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
L,0,0.287757,0.0196602,4.65963,0.841471
R,81.7484,0.205106,0.247963,4.23992,1.99362
L,2.46281,0.180411,0.221213,3.98083,2.17114
R,21.1628,0.15956,0.191621,3.56024,1.88276
L,0.503182,0.151205,0.171934,3.28203,1.68774
R,28.2182,0.163644,0.156954,3.04369,1.60976
L,2.07888,0.171844,0.14749,2.85779,1.54688
R,9.51938,0.180871,0.139702,2.69424,1.48303
L,1.59603,0.187189,0.135944,2.55826,1.43055
R,8.13125,0.189554,0.131495,2.43601,1.37454
L,0.291991,0.193836,0.12884,2.33129,1.32849
R,9.96713,0.193662,0.12342,2.23608,1.27392
L,6.01373,0.190281,0.119565,2.15112,1.22435
R,5.66419,0.186368,0.115345,2.07388,1.1803
L,1.1892,0.182002,0.111708,2.00423,1.14056
R,0.823473,0.177948,0.108212,1.94103,1.10554
L,2.97677,0.176899,0.106403,1.88423,1.08217
R,2.37306,0.175955,0.104247,1.8322,1.0582
L,4.82284,0.172974,0.101758,1.78375,1.03336
R,2.14202,0.170105,0.0993428,1.73871,1.00961
L,3.12526,0.166418,0.0969959,1.69681,0.98669
R,4.49218,0.163111,0.0959158,1.65783,0.964091
L,1.22962,0.159929,0.093825,1.62143,0.944012
R,0.305879,0.157027,0.0919648,1.58736,0.925592
L,0.266034,0.154264,0.0901352,1.55532,0.907278
R,3.77844,0.151823,0.0888649,1.52528,0.889667
L,0.569543,0.15006,0.087204,1.49704,0.873543
R,5.54222,0.147733,0.0856865,1.47007,0.858003
L,0.609469,0.145458,0.0855129,1.4445,0.843235
R,2.81239,0.143347,0.0857259,1.42025,0.829327
L,0.162325,0.141448,0.0871541,1.39718,0.816535
R,5.6062,0.139479,0.0866797,1.37519,0.803714
L,0.117035,0.137701,0.0861304,1.3542,0.791467
R,7.33422,0.135702,0.0856751,1.33423,0.779784
L,0.34779,0.133827,0.0859608,1.31511,0.768799
R,4.31674,0.131955,0.0855873,1.29691,0.758109
L,1.66009,0.130247,0.0844542,1.27952,0.747869
R,4.8786,0.128605,0.083386,1.26265,0.738196
L,0.562444,0.126958,0.0824309,1.24639,0.728918
R,4.4054,0.125362,0.0817311,1.23073,0.720042
L,0.876555,0.123857,0.0807347,1.21564,0.711222
R,2.10318,0.122374,0.079779,1.20108,0.702707
L,1.64912,0.121105,0.0790998,1.18711,0.694636
R,1.02659,0.119808,0.0786985,1.17358,0.687025
L,0.247676,0.118517,0.0787654,1.1605,0.679944
R,1.18507,0.117358,0.0787019,1.14795,0.673026
L,0.534334,0.11629,0.0803234,1.13587,0.667253
R,0.95524,0.115438,0.0828084,1.1244,0.662109
L,1.90788,0.114351,0.0842724,1.11313,0.656618
R,3.25803,0.113586,0.0854164,1.10259,0.651092
L,1.55815,0.112618,0.0858167,1.09218,0.645362
R,11.2122,0.111531,0.0857098,1.0817,0.639619
L,0.64434,0.110507,0.0855292,1.0716,0.63401
R,0.304342,0.109499,0.0854649,1.06175,0.628659
L,0.471964,0.108546,0.0849559,1.05219,0.62318
R,1.22424,0.107797,0.0845942,1.04315,0.617921
L,1.44604,0.106977,0.0850276,1.03435,0.613297
R,3.83574,0.106308,0.0850955,1.02599,0.608541
L,0.78965,0.105636,0.084501,1.01775,0.603496
R,2.90313,0.105017,0.0838253,1.0096,0.598529
L,0.61209,0.104488,0.0832221,1.00163,0.593603
R,0.843495,0.104053,0.0825724,0.993894,0.588812
L,0.111211,0.103862,0.0819529,0.986442,0.584136
R,2.06437,0.103676,0.0813565,0.979001,0.579592
L,0.436651,0.103533,0.0811276,0.971702,0.575122
R,0.53969,0.103677,0.0809119,0.964668,0.57075
L,0.454799,0.103642,0.0808655,0.957734,0.566481
R,5.33284,0.103283,0.0809908,0.950703,0.562301
L,0.696588,0.102782,0.0823495,0.943794,0.558347
R,1.69577,0.102244,0.0834078,0.937029,0.554397
L,0.236635,0.101617,0.0847585,0.930408,0.550555
R,3.21122,0.100952,0.0856535,0.923933,0.546727
L,0.494606,0.1004,0.085735,0.91759,0.543009
R,1.44814,0.0997836,0.0858293,0.911372,0.539394
L,0.455423,0.0992495,0.0860582,0.905276,0.535827
R,0.814885,0.0987163,0.086411,0.899302,0.532317
L,0.609043,0.0980915,0.0876067,0.893451,0.528857
R,0.440618,0.0974637,0.0889205,0.887724,0.525464
L,0.865966,0.0968507,0.0891923,0.882088,0.522183
R,0.509396,0.0962785,0.0894487,0.876576,0.51895
L,2.0593,0.0961121,0.0890831,0.871371,0.516019
R,4.23836,0.0956812,0.088642,0.866111,0.513286
L,0.842607,0.0951383,0.0886089,0.860897,0.510303
