SENSOR_TYPE,NIS,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
R,0,0.158219,0.214052,7.4824,0.0016588
L,0.825,0.140074,0.152991,7.47965,0.0549366
R,14.1677,0.125552,0.209083,7.35836,0.724213
L,8.31494,0.193562,0.199039,7.28208,0.868117
R,180.95,0.173379,0.18407,6.81229,1.0107
L,7.23897,0.183553,0.1748,6.47714,1.09605
R,120.345,0.209607,0.164278,6.19918,1.43211
L,8.10347,0.26563,0.155046,5.9574,1.61124
R,79.248,0.292027,0.150194,5.68016,1.58044
L,3.34844,0.328293,0.150893,5.44074,1.52754
R,73.1047,0.354181,0.150284,5.21425,1.45721
L,16.598,0.378188,0.149649,5.01528,1.40327
R,79.4164,0.395381,0.144871,4.83262,1.3955
L,17.3905,0.411066,0.139609,4.672,1.436
R,48.4504,0.423516,0.134892,4.52102,1.46326
L,22.7742,0.432716,0.131318,4.38483,1.51997
R,23.9534,0.4381,0.129485,4.25808,1.57583
L,14.2781,0.441159,0.136744,4.14338,1.66962
R,26.0742,0.44131,0.140812,4.03516,1.72312
L,19.2197,0.43868,0.154564,3.93528,1.79657
R,14.2431,0.434563,0.169121,3.84173,1.85488
L,19.6571,0.429469,0.182493,3.75451,1.89912
R,22.0657,0.42373,0.191614,3.67251,1.92349
L,10.7798,0.417255,0.202211,3.59562,1.94513
R,9.71247,0.410276,0.21582,3.52311,1.96645
L,19.1609,0.403455,0.223773,3.45485,1.97313
R,19.3387,0.396704,0.22871,3.39042,1.9714
L,5.80351,0.390573,0.23326,3.32959,1.96732
R,13.6502,0.384429,0.238277,3.27173,1.96174
L,6.37649,0.378263,0.24297,3.21676,1.95402
R,5.26856,0.372305,0.248709,3.16445,1.94637
L,13.2083,0.36654,0.2505,3.11461,1.93196
R,1.07649,0.360983,0.25466,3.06706,1.92019
L,5.87525,0.355657,0.256978,3.02162,1.90541
R,5.189,0.350586,0.260202,2.97815,1.89141
L,3.5388,0.345727,0.262379,2.93649,1.87587
R,10.9105,0.341047,0.263494,2.89654,1.85887
L,2.4369,0.336558,0.263944,2.85818,1.84117
R,4.28485,0.33229,0.265085,2.82132,1.82447
L,5.8957,0.328189,0.264437,2.78587,1.80608
R,4.79734,0.324236,0.265032,2.75169,1.78907
L,1.33993,0.320376,0.265843,2.71873,1.77244
R,2.20756,0.316633,0.268576,2.68698,1.75755
L,10.1123,0.313044,0.26895,2.65634,1.74083
