SENSOR_TYPE,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
L,0.287757,0.0196602,5.19994,0
R,0.211217,0.0876492,3.72684,2.27494
L,0.176131,0.078995,4.13234,1.859
R,0.234359,0.072307,3.59231,2.06244
L,0.24572,0.0770908,3.21496,2.08356
R,0.23692,0.0723001,2.93578,1.95049
L,0.224819,0.0751725,2.7205,1.8383
R,0.216741,0.077096,2.54502,1.73665
L,0.208092,0.0819322,2.4,1.64911
R,0.1997,0.0833123,2.27727,1.56832
L,0.193067,0.0847869,2.17156,1.49797
R,0.185931,0.0814045,2.07952,1.43451
L,0.178675,0.0794763,1.99907,1.38266
R,0.172193,0.0774245,1.92795,1.33508
L,0.166566,0.0764658,1.8643,1.29306
R,0.161458,0.0752406,1.80555,1.25428
L,0.156942,0.0730231,1.75165,1.21688
R,0.152921,0.0709918,1.70256,1.18305
L,0.148843,0.0693902,1.65716,1.1526
R,0.145074,0.0681767,1.61538,1.12465
L,0.141891,0.0672706,1.57693,1.09902
R,0.138732,0.0707227,1.54068,1.07917
L,0.135759,0.070062,1.50683,1.05676
R,0.132935,0.0692867,1.47519,1.03565
L,0.130252,0.0694559,1.44547,1.01669
R,0.127741,0.071761,1.41824,1.00082
L,0.125793,0.0715823,1.39295,0.98354
R,0.123541,0.0721003,1.36789,0.967645
L,0.121407,0.0754973,1.34414,0.954893
R,0.119407,0.0797937,1.3217,0.943702
L,0.117641,0.0851097,1.3004,0.933779
R,0.11582,0.0870995,1.28027,0.921358
L,0.114138,0.0882512,1.26098,0.908975
R,0.112475,0.0896846,1.24281,0.897567
L,0.110859,0.091816,1.22532,0.887318
R,0.109459,0.0929354,1.20889,0.876781
L,0.108485,0.0920269,1.19337,0.865144
R,0.107496,0.090906,1.17759,0.853967
L,0.106243,0.0897432,1.1624,0.843169
R,0.104938,0.0886158,1.14823,0.833017
L,0.103667,0.0878224,1.13462,0.824358
R,0.10245,0.0875401,1.12103,0.81692
L,0.101575,0.0879494,1.10802,0.810929
R,0.100615,0.089496,1.09537,0.806777
L,0.099578,0.091374,1.08314,0.80298
R,0.0987535,0.0931784,1.07177,0.798774
L,0.0980377,0.0972147,1.06089,0.797218
R,0.0976798,0.102992,1.05122,0.797181
L,0.0968877,0.105805,1.04133,0.793542
R,0.0966194,0.108149,1.03316,0.789277
L,0.0960111,0.108829,1.02467,0.783386
R,0.0950847,0.109034,1.01479,0.777664
L,0.0942456,0.108908,1.0053,0.771881
R,0.0934117,0.109076,0.996036,0.766913
L,0.0926226,0.108455,0.98709,0.76101
R,0.0921226,0.108032,0.979349,0.755625
L,0.0915358,0.108616,0.971845,0.75209
R,0.0911637,0.108778,0.965227,0.747929
L,0.0907881,0.107983,0.958676,0.742289
R,0.0904485,0.107151,0.951336,0.737066
L,0.090206,0.106347,0.944298,0.731286
R,0.090099,0.105486,0.93742,0.726415
L,0.0903265,0.104647,0.931066,0.721808
R,0.0905739,0.103852,0.924138,0.718412
L,0.090753,0.103183,0.917428,0.713847
R,0.0913652,0.102454,0.911294,0.709888
L,0.0916871,0.101844,0.905305,0.70575
R,0.0916179,0.101135,0.898626,0.703098
L,0.0912222,0.101302,0.89209,0.698687
R,0.0908399,0.100959,0.885706,0.695388
L,0.0903,0.100952,0.879467,0.69168
R,0.0897512,0.1004,0.873352,0.689696
L,0.0893503,0.0997108,0.867552,0.689097
R,0.08891,0.0990929,0.861724,0.689876
L,0.0885272,0.0984364,0.856127,0.688856
R,0.0882035,0.0977871,0.850805,0.688065
L,0.0876699,0.0976182,0.845483,0.684874
R,0.0871353,0.0973032,0.840196,0.682361
L,0.0866278,0.0967015,0.835286,0.681183
R,0.0862495,0.0960964,0.831138,0.680243
L,0.0866603,0.0956986,0.82845,0.680737
R,0.0867184,0.0958653,0.824291,0.683653
L,0.0863481,0.0952864,0.819883,0.682063
R,0.0860993,0.0948026,0.815954,0.681253
L,0.0856305,0.0942456,0.811953,0.679263
R,0.0851741,0.0937816,0.808423,0.6778
L,0.084713,0.0939065,0.805412,0.677747
R,0.0842979,0.0948362,0.802256,0.679342
L,0.0844975,0.0962724,0.800643,0.681103
R,0.0847628,0.0986081,0.798264,0.684183
L,0.0856905,0.0999676,0.796808,0.68481
